Nome,Status,Tipo
Correios via Frenet,Ativo,Gestão de etiquetas
J&T Express via Frenet,Ativo,Gestão de etiquetas
Jadlog via Frenet,Ativo,Gestão de etiquetas
Total Express,Disponível,Gestão de etiquetas
4A Logistica Express,Disponível,Por tabela
A3 Transportes,Disponível,Simplificada
ABH Transportes,Disponível,Por tabela
ABT Log,Disponível,Por tabela
Accert,Disponível,Por tabela
Aceville Transportes,Disponível,Simplificada
ACLog,Disponível,Por tabela
Aeroflex,Disponível,Por tabela
Aguia Branca,Disponível,Simplificada
Aguia Sul,Disponível,Por tabela
AJ Log Express,Disponível,Simplificada
Alfa Transportes,Disponível,Simplificada
Aliança,Disponível,Por tabela
Alliex,Disponível,Simplificada
ALT Brasil Transportes,Disponível,Por tabela
AM Transportes,Disponível,Por tabela
AmazonTransportes,Disponível,Por tabela
Amglog,Disponível,Por tabela
Andorinha,Disponível,Por tabela
AndreTransportes,Disponível,Por tabela
Anjos Transportes,Disponível,Por tabela
Anjun Express,Disponível,Por tabela
Apoio Logística,Disponível,Por tabela
Aragão,Disponível,Por tabela
Argius,Disponível,Por tabela
Arlete,Disponível,Por tabela
Artec,Disponível,Por tabela
Asapbd,Disponível,Por tabela
ASR,Disponível,Por tabela
Astrolog,Disponível,Por tabela
Athos Transportes,Disponível,Por tabela
Ativa,Disponível,Por tabela
Atlas,Disponível,Por tabela
Atual Cargas,Disponível,Por tabela
Avante Transportes,Disponível,Por tabela
Avianca,Disponível,Por tabela
Aviat,Disponível,Por tabela
Avlog,Disponível,Por tabela
AWR,Disponível,Por tabela
Azplan,Disponível,Por tabela
Azul Cargo,Disponível,Simplificada
Azurelog,Disponível,Por tabela
B2C LOG,Disponível,Por tabela
B2Y,Disponível,Por tabela
Balcao Balcao,Disponível,Simplificada
BARONI,Disponível,Por tabela
BasdLog,Disponível,Por tabela
BBT Transportes,Disponível,Por tabela
Bee Delivery,Disponível,Por tabela
BemLog,Disponível,Por tabela
Bemol,Disponível,Por tabela
BentoBrasil,Disponível,Simplificada
Bertolini,Disponível,Por tabela
BF LOG Express,Disponível,Por tabela
BIBI FLEX,Disponível,Simplificada
Binho Transportes,Disponível,Por tabela
Bit Home,Disponível,Simplificada
Bit Home VIP,Disponível,Por tabela
BLD Logística,Disponível,Simplificada
BLExpress,Disponível,Por tabela
BM Transportadora,Disponível,Por tabela
Bonfanti,Disponível,Por tabela
BorbaLog,Disponível,Por tabela
Borzo Delivery,Disponível,Simplificada
BRAEX,Disponível,Por tabela
Brasil Cargas,Disponível,Por tabela
Brasil Express,Disponível,Por tabela
Brasil Web,Disponível,Por tabela
BrasilPort,Disponível,Por tabela
Braspress,Disponível,Simplificada
Brasul Transportes,Disponível,Por tabela
Braunn,Disponível,Por tabela
Bravox,Disponível,Por tabela
Bristot Rocha,Disponível,Por tabela
Brix Cargo,Disponível,Por tabela
BrosLog,Disponível,Por tabela
Browm Transportes,Disponível,Simplificada
Brusville,Disponível,Por tabela
BSC Transportes,Disponível,Simplificada
Business Center,Disponível,Simplificada
Buslog,Disponível,Simplificada
Caiapo Cargas,Disponível,Por tabela
Cainiao,Disponível,Por tabela
Cairu,Disponível,Por tabela
Camilo dos Santos,Disponível,Por tabela
Canlog Cargo,Disponível,Por tabela
CarbonoZero,Disponível,Por tabela
Cardex Logistica,Disponível,Simplificada
Carga Maxima,Disponível,Por tabela
Cargo Fly,Disponível,Por tabela
CargoBrasil,Disponível,Por tabela
Cargobrvip,Disponível,Por tabela
Carriers,Disponível,Por tabela
CarvaLima,Disponível,Simplificada
CastroDias,Disponível,Por tabela
Cazan Transportes,Disponível,Por tabela
CB Transportes,Disponível,Por tabela
CCA Express,Disponível,Por tabela
CCN,Disponível,Por tabela
CDC Cargas,Disponível,Por tabela
CDR,Disponível,Por tabela
Central do Frete,Disponível,Simplificada
CentralLogTransportes,Disponível,Por tabela
CentroSul,Disponível,Por tabela
CF Transportes,Disponível,Por tabela
Changueiro,Disponível,Por tabela
Chapeco Encomendas,Disponível,Por tabela
Chega Certo,Disponível,Por tabela
Civard,Disponível,Por tabela
Cjmlog,Disponível,Por tabela
Claro Transportes,Disponível,Por tabela
CLK Log,Disponível,Por tabela
Comam Transportes,Disponível,Por tabela
Commerce Log,Disponível,Por tabela
Conecta,Disponível,Por tabela
Conexao Transporte e Logistica,Disponível,Por tabela
Continental,Disponível,Por tabela
